,content
4854,https / / wwwepicecomtw / mobile / talk / 4544 / 5165454 / 1 / 分享 獎品 開箱 文
4855,獎品 開箱 分享 文 https / / wwwepicecomtw / mobile / talk / 4544 / 5165205 / 1 / m / 5165205 / 以 分享 至 FBhttps / / wwwfacebookcom / hicowag / posts / 2231284950216092FBhttps / / wwwfacebookcom / pemalikphpstoy _ fbid = 1597387330407945 & id = 100004100799302GOOGLE + https / / plusgooglecom / u / 0 / 104594987910740266797 / posts / 4Z3XB7UZhoaGOOGLE + https / / plusgooglecom / 113017551416024235420 / posts / 3JauffqTeXHhl = zh _ twPlukhttps / / wwwplukcom / m / p / 24zucmobile01https / / wwwmobile01com / topicdetailphpf = 383 & t = 5644109
4856,再次 中獎 是 多麼 的 開心 感謝 ePice 比價王 用心 辦理 此次 活動
4857,我 也 有 中獎 又 要 再次 感謝 比價王 期待 我 的 開箱
4858,目前 比價王 的 EP 福利社 可以 免費 兌換 喔
4859,感覺 很棒 勒 透明 殼 真的 好看 但 就是 會怕 變黃 如果 不會變 黃 那 真的 是 好 選擇
4860,覺得 它 的 裸 機質 感 很 美霧面 背板 也好 吸引 人 喔 > <
4861,我 喜歡 透明 殼
4862,感覺 還不錯 日後換 殼 列入 考慮 謝謝 樓主 心得 分享
4863,極空 戰甲 主打 的 就是 抗黃 阿防 摔 功能 其實 也 不錯 啦 我 手 殘 摔 了 好 幾次 手機 都 好好 的 ( 好孩子 不要 學 )
4864,謝謝 分享 看 完馬 上訂 了 一個 透明 殼 患者 + 1
4865,不過 蘋果 的 軟體 很常 更新 更新 的 速度 很快
4866,喜歡 就 買 下去 阿多花 幾千塊 買 XS 好像 也 不錯 阿
4867,XR 賣 最好 沒錯 啊 跟 XS 還有 XSMax 比 的 話 老實 說 這次 的 定價 讓 很多 人覺 得 不合理 我 是 習慣 用 iphoe 介面 的 人 但 下次 的 定價 跟 這次 一樣 或 更 貴 的 話 我會 思考 下次 該換 什麼 手機
4868,蘋果 以前 的 優勢 都 快 沒 了 拍照 螢幕 安全性 軟體 優化 這些 強項 現在 拍照 輸 了 螢幕 大家 都 一樣 漂亮 安全性 安卓 的 也 提高 許多 剩軟體 優化 打 GAME 有差 而已 這樣 的 優勢 還賣 那麼 高 真正 是 賣 信仰 的
4869,抄襲 在 這個 世界 算是 必備 的 手法 之一
4870,其實 非 重度 使用者 平時 只 追劇 、 FB 、 Lie 、 玩 些小 遊戲 的 真的 沒有 必要 追逐 蘋果 的 信仰 當前 很多 中階手機 真的 很夠 用 了
4871,2 萬有 找 的 安卓旗 艦 就 很 好 用 了 沒 必為 了 信仰 當盤子
4872,真的 有 賣 不好 嗎 台灣 銷售 不是 都 排 蘋果 第一名 哈哈
4873,iPhoe 也紅 了 很 好 年 了
4874,連蘋果 都 在 砍 單看 來 明年 科技 業真得 有 點慘 如果 可以 藉由 這次 順便 降價 相信 很多 人願 意嘗試 看看 iphoe
4875,哈哈哈哈 哈哈哈哈 沒人要 了 砍 訂單 了 價格 再 高 啊
4876,很棒 的 商品 阿 但 不 知道 價格貴 不貴
4877,恭喜 樓主買 到 好物
4878,第一次 知道 引閃器 我 好 孤陋 寡聞 XD 看起 來 拍照 變得 很 專業 尤其 手機 方便 攜帶 隨時 都 能 拍出 好 照片 的 道具 很 值得 推薦
4879,感謝 分享 對 喜歡 拍照 的 使用者 來 說 肯定 非常 有興趣
4880,感謝 分享 感覺 是給 專業 拍照 玩家 用 的
4881,感覺 很 厲害 超 專業 的 拍出 的 照片 也 很 好看
4882,期待 新版 ios
4883,很 期待 XD
4884,期待 一下 重新 設計 home 的 主頁
4885,IOS 系統 感覺 越來 越 好 用 了 期待 更新
4886,大家 都 好 野人 乾脆 期待 15 出來 好 了 哈哈哈哈
4887,只要 印上 蘋果 即使 機子 中間 空洞 依然 一盤 凱子 買單
4888,手機 4 吋 是 有點 小 但 放 口袋 很 方便 又 好 拿 以前 跑步 時加個 臂 套 聽 音樂 很 方便
4889,小 隻 的 瀏海 倒 是 挺 可愛的 好像 還不錯 哈哈
4890,小 螢幕 也 加入 瀏海 了
4891,小 螢幕 還是 有 需求 市場 的 不過 這個 貴 又 規格 普通 真的 很 吃 品牌 信仰
4892,我覺 得 這種 大小 才 是 最 棒 的 能夠 一手 完全 掌握 如果 能 把 現 在 的 IPODTOUCH 的 外型 配上 無邊 框 螢幕 鏡頭 就 不 強求 然後能夠 有 完整 的 SIM卡 功能 就 超棒 了 ipodtouch 拿 起來 的 薄度 真的 是 超爽 的
4893,這個 更新 很 讚
4894,哇 嗚 安全性 更 提升 真的 很棒 雖然 也 沒 有 常常 用 usb 連電腦
4895,安全性 更 提升 真的 很棒 雖然 大部分 人 可能 用 不到
4896,IPhoe 的 安全措施 越來 越 好 保障 消費者 權益 避免 資料 洩漏
4897,硬仗 呀 封閉 系統 的 威力 太 神 ˙ 啦
4898,這個 很 正常 啊 LG 長 年 提供 螢幕給 蘋果 如果 G7 有 的 技術 新一代 iPhoe 擁有 的 話 也 是 很 有 可能 的 更 何況 蘋果 一出 相關 技術 其他 廠商 也 會 跟上 對 於 LG 的 螢幕 銷量 也 是 有 幫助 的
4899,本業 做得好 不怕 沒錢 賺 新款 螢幕戶 外表 現應 該 不錯
4900,日本 是 蘋果 非常 重要 也 主要 的 海外 市場 這句 話 就 跟員工 是 公司 最 重要 的 資產有 異曲 同工 之妙
4901,從 245 名 一次 跳到 第 4 名帥 哦
4902,期待 iOS113 更新
4903,快來
4904,有夠 便宜 有喜 歡 的 人 真的 可以 去 搶 一支 CP 值 很 高
4905,這個 要 用 搶 的 有夠 便宜 CP 值 超高
4906,感覺 很 划算 ～ 可惜 是 校園 限定 的 優惠
4907,好想 搶購 但是 對 上班族 來 說 機會 渺茫
4908,我 也好 想 去 搶 喔 可惜 住太遠 沒 辦法 去 不然 一定 搶個 iphoe 來 玩
4909,現在 海外 也 有 算 不錯
4910,果然 蘋果 還是 大家 的 最愛趁 著 便宜 大家 都 想 買
4911,iPhoeSE 福利 機 只要 3000 感覺 滿 划算 的 可以 搶 搶 看
4912,剛好 有 可以 去 的 門市 可惜 太晚 知道 消息 已經 在 別處 買 完 了
4913,雖然 是 福利品 但 有 保固 且 cp 值高 只 可惜 住太遠 不然 真的 很 想 去 搶
4914,iPhoeSE 的 福利品 只要 3000 元好 優惠 的 價格
4915,哇 可惜 看到 時 已 經過 了 不 知道 明年 會不會 也 有 這類 行銷 不用 5000 的 蘋果 對 個 人 有些 吸引力 只是 不 知道 會 耐用 嗎 00
4916,實體 sim 卡 方便 多 了
4917,蠻 期待 iPhoe 在 臺 灣能 用 實體雙 SIM卡 我 就 可以 不用 帶 兩支 手機 出門 了
4918,我 愛 Type - C 這麼 插 都行 XDIphoe 換的 好
4919,這種 本來 就是 各有利弊 雖然 維修 可能 不 方便 但 對 我們 的 資安 和 隱私權 卻 很 有 保障
4920,感覺 安全 和 便利 還是 有 一定 的 比重 畢 竟魚 與 熊掌 不可 兼得 但是 也 或 許是 有些 考量 或者 是 bug 等 問題 吧 期許 方便 好用 又 安全 00
4921,無線 充電 是 很 好
4922,還是 覺得 之前 像 5 的 背面 最 好看 換成 玻璃 其實 還蠻 像 4 的
4923,非常 感謝 蘋果 還能 繼續 照顧 需要 小 尺寸 手機 的 用 戶們 但 我 真的 希望 iPhoe 可以 趕快 把 畫素 升級 到 1600 萬畫素 35 吋 耳 機孔 真的 很 需要 我個 人 支持 保留 35 耳機 孔 的
4924,無線 充電 很 好 用 啊 我 從 S7 時代 就 開始 用線 不用 拔來 拔 去 很 方便
4925,好握
4926,性能 又 好 同樣 的 遊戲 操作 順暢度 比 我 的 Adoids835 手機 還好 期待 SE2 能夠 更 上 一層 樓
4927,還是 很 喜歡 像 I4 的 玻璃 機背觸 感相 對 很 好
4928,現在 越來 越 多 手機 支援 無線 充電個 人 認為 這 功能 不錯
4929,效能 應該 會 是 在 apple 裡算頂 尖 的 看 起來 蠻 有 質感 的
4930,小 螢幕 還是 有 很多 人喜歡 ( 例如 我 朋友 ) SE2 的 售價 如果 親民點 或 許銷量 會 不錯
4931,真的 小 螢幕 真的 很傷 眼睛 用 了 6 寸 後 真的 回不去 小 螢幕 的 機子
4932,無線 充電 很 好 小 螢幕 無愛
4933,很 期待 能繼續 出 小手 機因 為 市場 還會 需要
4934,大小 和 外型 以及 核心 都 符合 我 的 需求 期待
4935,小 螢幕應 該針 對 想 方便 攜帶 的 Apple 愛好者 出 的
4936,能 在 製 程 上 為 環 保 一 環 改善 是 值得 鼓勵 的
4937,更 環保 很 好 不 過會 不會 又 因此 漲價 呢
4938,環保 很 好 不過 也 希望 堅固 耐用 不要 一兩年 因為 是 環保材質 而 開始 變 脆弱
4939,蘋果 的 金屬 材質 很 耐用 不像 隔壁 微軟 Suface 產品線 的 鍵盤 都 用 絨布超 容易 髒
4940,恭喜
4941,這個 背蓋 也 很 好看
4942,恭喜 這個 很 好看 也 很 實用 的 樣子 顏色 很 容易 搭配 只是 看起 來 有 ˇ 點 厚重 不過 防護 能力 應該 足夠
4943,恭喜 又 有 新衣 祝福 可以 再 中獎 可惜 沒 iphoe 可以 參加
4944,中獎 真的 十分 幸運 呢 也 恭喜 樓主獲 得 了 實用 的 好 物品
4945,恭喜 大大 獲獎 阿 也 感覺 分享 產品 看 起來 不錯 耶
4946,恭喜 樓主 獲得 XR 美型 保護獎 每次 比價王 的 獎口 都 很大 方
4947,恭喜 得獎 感覺 不錯 的 獎品 果然 站方 的 贈品 都 是 很 有 價值 的
4948,恭喜 得獎 比價王 的 活動 贈品 真的 很棒 的 感覺
4949,實用 也 有 質感
4950,我 比 較 喜 歡安卓用 糖果 命名 的 方式 每 一代 都 很 新奇
4951,簡化 是 好事 不過 IPHONE 型號 其實 沒有 很多 很 好記 了
4952,還是 Adoid 用 甜點 跟 英文字母 最 有趣 IOS 可以 用動物 命名 XDD
4953,iphoe 開始 要羅馬 數字 命名 法 嗎 哈哈
4954,這 真的 滿優惠 的 如果 要辦 蘋果 手機 的 話 還不錯還 可以 1 元購 ipad 或是 applewatch 真的 是 he 超值 耶
4955,哇加 一元 超級 超值 佛起 來 了 好 期待 我合約 到
4956,有 需求 的 人 趁 優惠活 動購 買 蠻 划算 的
4957,感覺 還不錯 如果 方案 符合 自己 需求 那應 該 很 划算
4958,好 棒 的 優惠 活動 趁母 親節 檔期 買 一些 3C 當媽媽 的 禮物
4959,這優惠 未免 也 太棒了 而且 都 是 平時 最少 優惠 的 蘋果 挺 吸引 人 的
4960,這個 活動 不錯 哦
4961,覺得 iPhoe8RED 很 適合 當金年 的 母親 節禮物
4962,月租 999 還要 綁 約 30 個 月 我寧願 直接 買空 機現 在 流行 499 方案 加買 空機 的 話 算 一算 還多 5 千 呢 不過 如果 有剛 好 要 辦 這個 資費 的 人來 說 是 很 划算 的
4963,這活動 的 確相當 有 吸引力 我 也 要 趕快 去 辦 囉
4964,1 元加購 iPad 、 AppleWatch 這 真的 滿 划算 的 加購 以後再 轉賣 都 有 賺
4965,小 螢幕 好 啊
4966,小 螢幕 是 另外 一個 市場 不過 這 一代 的 iphoe 造型 真的 是 經典
4967,大 螢幕用 了 就 回不去 了 但是 小 尺寸 手機 又 很 好 攜帶 這 根本 兩難 哈哈哈
4968,小弟 喜歡 43 - 47 吋 之間 的 螢幕 比 較 符合 手機 的 定義現 在 其他 的 我 覺得 都 可以 當 平板 用 了
4969,喜歡 小手 機 推出 後 來 買 一 隻 希望 價格 親民點 又 有 耳 機孔 這真 好
4970,外觀 好看 但是 螢幕用 大 螢幕用 久 了 回不去 了
4971,很 期待 新手 機 的 發表 希望 能 令人 驚艷
4972,真得 很 幸運 而且 超多 獎品 的 比價王 真的 超 佛心 的
4973,恭喜 中獎 真的 算是 套裝 了 應 有 盡 有
4974,送 那麼 多 買 這支手 機算 超值 啦 哈哈哈 雖然 還是 很貴
4975,恭喜 樓主中獎 了 這些 獎品 看 起來 很 不錯 XDD
4976,恭喜 大大 中獎 裡面 好多 不錯 的 贈品 大大 不用 多花費
4977,恭喜 得獎 好多 好 東西 喔 來 杯 蜂蜜 檸檬 15151515
4978,恭喜 得獎 阿 大大 真厲害 一次 獲得 必要 配備 這樣 就 可以 省 一大 筆了 真棒
4979,恭喜 大大 中獎 獎品 看 起來 很 不錯 真的 賺到
4980,恭喜 樓主 真是太 幸運 了 獲得 一堆 非常 實用 的 商品
4981,可以 不用 花錢 就 能夠 得到 很多 東西 很 不錯 唷
4982,哇 真的 是 滿滿 的 獎品 恭喜 樓主 了 比價王 真的 很大 方 希望 每個 人 都 得獎
4983,哇 太棒 棒棒 了 恭喜 大大 獲得 這樣 好 的 禮物 哦
4984,內置 蘋果 Lightig 傳輸線 的 行動 電源 真的 很 方便
4985,出門 我 都 帶 有 Lightig 線 的 行動 電源
4986,好多 很棒 的 東西 感覺 有 質感 恭喜 大大
4987,恭喜 大大 中獎 贈品 超多 的 真 讓 你 賺 到 了
4988,有 夠 讚 的 哦
4989,恭喜 您 得獎 啊 也 謝謝 提供 活動 的 業者
4990,哇賽 獎品 實在 有夠 多 Mipow 行動 電源 感覺 很棒
4991,恭喜 謝謝 開箱 分享 禮物 好 豐富 這下 配件 都 有 了
4992,獎品 很 豐富 欸 而且 都 很 實用 尤其 是 那個 行動 電源
4993,非常 感謝 各位 真的 很 高興能 得到 這獎品 留言 的 人 多 就 沒 一 一回 覆 抱歉
4994,感謝 樓主 分享 文章 中 可以 感受 到 樓主 的 喜悅 也 替 樓主 感到 開心 看到 好多 配件 真的 是 很 方便 00
4995,恭喜 恭喜 我 也 才 期待 我 的 獎品 到 來
4996,這獎品 真 好 啊 這樣 週邊 配件 都 有 了 比價王 的 活動 真的 佛心 來 的
4997,哇哇 真的 恭喜 你 呀 樓主 不用 一個 一個 回 啦 哈哈
4998,比價王 真的 很大 方 恭喜 得到 好 獎品 大家 有空 真的 要 多 參加 比價王 的 活動
4999,超 讚 的 啦
5000,但 你 這個 透明 真的 方便 的 多 哦
5001,恭喜 獲得 了 實用 的 好 物品 所以 大家 都 要 多多 參加 活動 才 有 機會 中獎
5002,恭喜 得獎 這次 的 獎品 也 超好還 可以 二次 抽獎
5003,恭喜 得到 這樣 不錯 的 產品 啊 質感 看 起來 很 不錯 耶
5004,這個 背蓋 好 正 啊
5005,我 喜歡
5006,Moxbii 確實 很 抗黃 保護 效果 也 很 不錯 之前 裝機 不 小心 摔到 過幾次 手機 沒什麼 事 如果 是 空壓 殼 的 話 手機 應該 會 gg
5007,織帶 指環 設計 看 起來 很 好 用
5008,恭喜 中獎 比價王 真的 很 讚 活 動 很多
5009,哇還 真的 推出 了 好 想換 哈哈
5010,出新 色用 最初 原價賣 看來 又 可以 賺 一波 了 哈哈
5011,紅色 真 好看 中國人 很 難 抗拒 紅 色系 尤其 是 老人家
5012,看來 iphoe 銷量 變差 了 只能 推出 新色 補救 不過 soyxzp 鏡紅比 較 好看
5013,紅的 漂亮 黑 的 大方 這顏色 深度 很 討喜
5014,說 真的 我覺 得 這紅色 很 美 不 知道 買 這款 的 人會 不會 很多
5015,紅色 還不錯 但 I8 我 還是 比 較 愛 金色
5016,i7 紅色 好像 賣不錯 也 捐 了 不少 錢 i8 紅 加油 公益 的 錢 才 有 著落
5017,紅的 漂亮 黑 的 大方 這個 配色 加上 紅色 皮套 更 討喜 更別 說 蘋果 限定 的 紅色款 都 是 有 附加 慈善 屬性 有 捐出 部份 金額作 公益 這點 就 支持 了
5018,科科 不 公布 數字 果粉 才 會 繼續 支持 呀 XD
5019,最火紅 最 夯 的 iPhoe 手機
5020,本來 以 為 手機 價格創 新高 賣 的 數量 會 減少 想不到 是 成長 的 果然 果粉 的 實力 是 很 強大 的
5021,導入 電池 限速 機制 防止 手機 有 麻煩
5022,蘋 果真 的 很會 買個 東西還 不能 完全 享受 該 有 效果 真的 很 厲害
5023,感覺 電池 對 手機 很 重要 二手 市場 的 價位 要 能 好 當然 手機 的 耐用度 要佳 但是 一旦 量產 而 不是 以前 的 飢餓 行銷 之後總有 一天 銷售量 飽 和 這是 就 會 有 期許 大家 換新機 的 需要 最好 是 能 從 其他 手機 品牌 陣營 吸引 進來 當然 好 的 電池 使用 對 手機 也 很 重要 但 效能 的 減少 對 注重 效能 的 原 使用者 也 會 有切 身影 響 最 重要 的 是 要 消息 透明 也 建議 未來 有 平價 的 蘋果 系列 吸引 其他 手機 使用者 00
5024,紅色 的 iPhoe8 與 iPhoe8Plus 還是 一樣 好看
5025,這個 顏色 應該 會 很 好 賣
5026,果然 紅色 還是 配 黑色 好 看看 來 頻果 也 了解 到 這點 了 有點 像 前 陣子 的 OppoR15 夢境紅 xa0
5027,盒子 上 的 紅色 還比 較亮 a
5028,出個 綠色 的 應該 也 很 好看 搭配 玻璃 螢幕 與 背板 應該 很 好看
5029,紅黑 配色 感覺 真的 不錯 看 比 較 喜歡 金屬 的紅
5030,哇 這次 紅色配 前面 黑色 比上 一代 i7 讓 我 個 人 覺得帥 更 多 整體 看 起來 滿有 質感 的 應該 多少 能 刺激 一些 銷量 吧
5031,我覺 得 這次 的 紅色 配上 黑色 的 面板 不錯 看 而且 蠻有 質感 的 之前 朋友 有 買 iPhoe7 紅色 的 配 的 是 白色 面板 看 他 的 紅色 質感 還不錯 下次 就 看 iPhoeX 會不會 有 了
5032,紅色 真的 很 好看 很亮麗 這樣 看來 x 應該 也 會 出紅 的 吧
5033,好看 不過 紅色 有點 太鮮 豔 了 啦 哈哈 只是 可能 會 有 限量
5034,紅色 的 iPhoe 耶感覺 真不錯 耶 很漂亮 的 顏色
5035,紅色配 正面 黑色 真的 很 殺 誒 比 去年 iPhoe7 的 紅白配 讓 我 覺得 更好 看 玻璃 紅不錯 看能 不能 增加 萎靡 的 今年 手機 銷量 市場 囉
5036,紅色 玻璃 機身 是 還不錯 看蠻 漂亮 的
5037,紅色 真的 很漂亮 從 不 考慮 IP 的 我 看到 紅 色心 動 了
5038,紅色 真 漂亮 有別 於 之前 金屬 搭紅色 玻璃 又 是 另 一種 質感 呈現
5039,紅色 真的 好美 呦 有 沒 有 機會出 星空 圖樣 的 啦
5040,拍 的 不錯
5041,看來 app 很強 大 啊
5042,這 APP 幫助 蘋果 相機 不少 蠻 厲害 的 哈哈
5043,厲害 喔 其實 app 好應 該 也 要 有點 技術 哈
5044,加個 濾鏡 整個 感覺 都 不 一樣 了 現在 拍照 真的 很 便利
5045,版主 真的 很 厲害 善用 現有 的 工具 也 能 有 旗艦 手機 的 效果
5046,喜歡 樓主 最後幾張 的 光 軌照 小弟 第一次 拍光軌 是 使用 HTC 的 M8 拍 的 那時 真的 超有 成就感
5047,App 用 的 好 拍照 沒煩惱 呈 現出 的 效果 不輸 相機
5048,濾鏡 是 很棒 的 照片 後 製 工具 不同 率竟 不同 感覺
5049,用 了 好 的 軟體 讓 光影 模式 變得 更 漂亮 了
5050,介紹 的 非常 好 不過 真的 拍照 還是 得 要 看 人 操作 啦
5051,我 也 很 喜 歡光 軌照
5052,拍 的 效果 真的 很不錯
5053,相信 不是 旗艦 手機 的 話 樓主 也 會 拍出 很棒 的 作品
5054,好 的 app 也 要 有 好 的 技術
5055,版主 的 取景 和構 圖實 在 厲害 發揮旗 艦機 的 拍照 能力
5056,iphoe 拍照 的 app 都 還蠻 不賴 的 但 也 要 有 審美觀 才能 拍出 這麼 厲害 的 照片 )
5057,謝謝 分享 一直 想要 學戲劇 冷色 那個 有空 的 時候 可以 來 自己 拍拍 看 了
5058,我覺 得 能 善用 手機 APP 與 內 建濾鏡 去 做出 不同 的 效果 跟 照片 感受 都 是 很棒 的 一件 事感謝 版主 分享 介紹 操作
5059,善用 濾鏡 APP 的 確有 不錯 的 效果 哦
5060,這 APP 蠻不錯 的 拍 起來 蠻 有感 覺 的
5061,版主 的 構圖 功力 很高 還能 分享 善用 濾鏡 的 效果 真是 大感謝
5062,拍照 這種 東西 真的 還是 要 多練習 感謝 樓主 分享 美照
5063,版主 真的 專業 印證 了 不用 特別 強大 的 單眼 專業 等級 的 相機 也 能 拍 出類 似的 效果 的 只要 有 沒 有心 都 可以 做出 匹 美的 作品
5064,大大 拍得 真 好感 謝 分享 美照 已 追 蹤 ig
5065,這個 軟體 真的 對 拍照 有 幫助 到 看 起來 不錯
5066,現在 的 APP 濾鏡 真的 很 猛拍 起來 都 有 微 單眼 的 感覺
5067,沖 繩 耶 我 沒事 都 很 愛去 沖 繩 走走 風景佳 又 便宜
5068,恭喜 會員 完成 「 果粉 最後機會 發表 iPhoeXR 與 Xs 系列 分享 文總值 超過 四萬 的 Moshi 好禮 送給 你 」 的 活動 記得 回來 看 你 有 沒 有 得獎 喔
5069,哇 期待 蘋果 的 新 功能 畢竟 商品 都 是 自家 出產 的 整合 加油 啊 希望 114 能 就 穩定 後 儘 早 開 放 更新 不過 Beta1 而已 應該 還要 一段 時間 加油
5070,期待 AiPlay2 我愛聽 立體 聲音
5071,太好了 iOS 也 可以 使用 中文版 GoogleAssista 了
5072,這下子 安卓 和 IOS 系統 都 可以 使用 中文 的 GA 了
5073,兩個 版本 都 能夠 使用 智慧 助理 增加 使用 手機 的 方便性
5074,結果 ios 我 也給 他 google 化 我 是不是 很喜 歡安卓
5075,另類 的 功能 u3000 可以 繼續 新增 一些 功能
5076,蘋果 的 機友 可以 試試 GoogleAssistat 感覺 還不錯 的 語音 助理 喔
5077,ios 也 能 用 太棒了 可以 試試 sii 和 google 兩種 語音 助理
5078,iOS 也 可以 使用 中文版 GoogleAssista 這樣 就 可 好好 的 比 較 了
5079,哈哈 攻城掠地 的 概念 嗎 不過 應該 影響 不大
5080,真的 是 太好了 相信 中文 的 使用者 也 有 一定 的 數量 全球化 的 企業 在 語言上 一點 也 不能 含糊 雖然個 人 對 於 谷歌 的 助理 還沒 使用 過 00
5081,水果 好 棒 這 就是 社會責任 好色 好美
5082,好美 啊 也 想要 買 一只 來 玩玩 紅色 真的 很 有 吸引力
5083,終於 推出 ( PRODUCT ) RED 紅色 特別 版產品 了 好 美
5084,希望 價錢 公道 一點 我 覺得 比 較實 在 哈哈哈哈
5085,說 真的 我 還是 覺得 金色 的 i8 最 好看
5086,紅色 一直 都 很 好看 又 結合 公益 這賣點 很 好
5087,已經 正式 發表 了 這個 顏色個 人覺 得 很 不錯 應該 會 賣 的 很 好
5088,這個 紅黑 搭配 真的 漂亮 中華 1399 月租 再 搭個 vip 折扣 不用 萬元 就 可 到手 真的 好心 動
5089,紅色 真棒 它 的 配色 更好 黑色 正面 紅色 背面 哎 沒 預算 只有 7 紅色 的 繼續 用
5090,紅色 真的 蠻 有 吸引力 的 且 又 可以 做 公益 真的 好棒
5091,( PRODUCT ) RED 款式 的 紅色 iPhoe8 系列 覺得 很漂亮 手上 有 金色 iphoe8 已經覺 得 有點 布丁 金 的 感覺 好看 了 紅色 就 太慢 出 了
5092,這紅色 看 起來 像 消光 的 感覺 我 比 較 喜歡 亮面 的
5093,已 在 官 網訂 購表定 明天 4 / 16 到貨 期待 期待
5094,凌晨 就 升級 完成 了 流 暢度 提升 有感 值得 升級 xa0
5095,升級 後 感覺 有 比 較 流暢 也 許是 錯覺 電池 新 功能 還不錯
5096,台積電 7m 製 程 終 於 要 量 產 了 真是 期待 啊 再 來 就是 台積電 的 5m 製 程 和 3m 製 程 這 兩 個 製 程 目前 全世界 只有 台積 電做 得出 來 真的 很 感謝 張忠謀為 台灣 的 貢獻
5097,科技 真的 越來 越 進步 了 以 後 的 手機 真令人 期待
5098,希望 台灣 除了 聯發科 之外 還 可以 再 自 創新處 理器 的 品牌 再用 上台 積電 的 黑 科技 應該 會 很 不錯
5099,奇怪 台積 電幫 iphoe 做 的 處 理器 就 很 猛 幫 其他 廠商 做 的 處 理器 卻 沒 有 高通 厲害 是 怎樣 偏心
5100,台積電 的 技術 真的 是 相當 好感 謝 這些 辛苦 的 臺 灣 工程 師
5101,7m 製 程 真的 很 省電 我 iPhoeXR 現在 用 得 很 滿意
5102,這點 值得 給 水果 牌一 個 讚
5103,有 問題 本來 應該 就是 要 負責 的 有 擔當 很 優
5104,恭喜 會員 完成 「 果粉 最後機會 發表 iPhoeXR 與 Xs 系列 分享 文總值 超過 四萬 的 Moshi 好禮 送給 你 」 的 活動 記得 回來 看 你 有 沒 有 得獎 喔
5105,感謝 開箱 介紹 分享 XR 真的 紅色 好 美 喔 紅黑配 不錯 啊 這個 透明 外殼 也 很 好看 這樣 就 可以 把手 機 的 高質 感美 都 表現 出來 了
5106,紅色 搭配 透明 背蓋 真的 很 亮眼 超 漂亮 的 可以 XSMAX 沒有 紅色 款式
5107,紅色 真的 高調 又 好看 不然 我們 都 習慣 拿 黑 或 銀 都 是 很 無趣 的 顏色 XD
5108,透明 被 蓋 加紅色 還真 好看 把手 機 的 質感 都 表現 出來 了
5109,恭喜 入手 好機 、 好殼 非常 搭殼 真的 有貴 的 價值 啊
5110,紅色 真的 好看 配 上 透明 殼 有 防護 也 能 看 著 美美 的 手機 超 讚
5111,紅色 的 好看 moshi 的 產品 也 都 蠻 有 質感 的 這一個 全透剛 好 把紅 的 美 顯現 出來 不會 蓋 住
5112,感謝 開箱 分享 XR 紅色 超美看 了 我 也 想 買
5113,太厲害 了 亞太 都 是 跑 第一 很不錯 的 分享
5114,哇亞太應 該 是 第一家 提供 esim 的 吧 手腳 真的 好快
5115,這種 eSIM 真的 很 方便 … … 再也 不用 裝實體 SIM卡 了 … …
5116,我要 擺 脫當 雙槍俠 囉 我 煮 門號 是 中華電信 的 HAPPY
5117,可以 搶先 開通 也 不錯 可以 吸引 一些 用戶 跳槽 過去 使用
5118,我 比 較 想 對 亞太建議 還是 先將 基地 台數量 建置 完整 會 更 有 競爭力
5119,感覺現 在 有 新 的 esim 業務 推出 期許 可以 讓 更 多 使用者 使用 到 更 多 方便 的 功能 也 希望 能 有 安全 00
5120,到底 是 純紅色 還是 腮 紅金 呢 感覺 都 滿 好看 的 畢竟 蘋果 帶領 手機 的 潮流 一 出新 色新 功能 其他 Adoid 廠商 就 爭先恐 後 的 抄 上 來 了 也好 啦 能 看到 引領 潮流 也 不錯
5121,其實 顏色 真的 會 影響 買 氣個 人 各有所好 有的是 喜歡 可愛的 有的則 是 酷 炫 的 還是 能 吸引 到 不同 的 人購 買 拉
5122,推出 其他 顏色 不錯
5123,喜歡 紅色 )
5124,神神秘秘 的 水果 會有 什麼 祕 密 武器 出現 讓 我們 繼續 看 下去
5125,期待 更 超值 的 iPad 和 更 超值 的 Mac
5126,沒關 係 現在 消息 傳 很快 一下 就 會 在 各 大媒 體 看到 了
5127,超 希望 這次 平價 iPad 可以 用上 全貼 合 屏幕 2017 版 我 之 所有 沒有 買 就是 沒有 全貼 合 屏幕
5128,期待 平民 版且 有 實用 功能 的 IPAD
5129,沒關 係 有 親民款 iPad 比較 重要
5130,恭喜 會員 完成 「 果粉 最後機會 發表 iPhoeXR 與 Xs 系列 分享 文總值 超過 四萬 的 Moshi 好禮 送給 你 」 的 活動 記得 回來 看 你 有 沒 有 得獎 喔
5131,恭喜 入手 好機 不論 是 邊框 的 不銹鋼 或是 背面 玻璃 真的 都 很 有 質感
5132,恭喜 入手 新手 機 這次 的 iphoe 的 金色 算蠻 特別 的 不太會 形容 要 實際 看 才 知道 是 好看 的 金色
5133,哇 好 漂亮
5134,算起 來 很 有 質感
5135,外觀 金色 看起 來 真的 蠻不錯 看 的 恭喜 樓主 入手 好手 機
5136,恭喜 購入 好機 金色 真的 很 好看 從 8 升級 到 XSMax 螢幕 部分 應該 有 很大 升級 感
5137,IphoeXsMax 的 外型 好好看 恭喜 入手 好手 機
5138,恭喜 會員 完成 「 果粉 最後機會 發表 iPhoeXR 與 Xs 系列 分享 文總值 超過 四萬 的 Moshi 好禮 送給 你 」 的 活動 記得 回來 看 你 有 沒 有 得獎 喔
